와 썸네일 보자마자 노네임드인거 알았다 손
그림체가 단순하다고 얕봤다간큰코다칠 작가님임세계관이며 상상력이 어마무시함전 작품인 노네임드는sf만화수상작품임!믿고보는작가님임!!
공감jpg 랑 그림체 비교하지마세요 ㅋㅋㅋㅋㅋ 어이없넼ㅋㅋ
이분은 도덕책같은 그림체로 최강의 광녀 공포물을 만들어낸 그분입니다
진짜 이 작가님은 윗공기 마셔야함 노네임드 본 사람들은 내기분알겠지....
(             )명이 이 웹툰을 좋아합니다.↘
노네임드작가님이지나ㅜㅜㅜㅜㅜㅜ 보고싶어써여ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ
무성의한 그림체에 피키에서 이미 돈 받고 연재도 했던 주제에 정식웹툰 하는 공감따위랑 이미 복선 잔뜩 깔고 시작하는 꿈의기업이랑 어떻게 비교를 해요? 하지 마세요.
이 웹툰을 긴장하며 봐야하는 이유들1. 주제부터 SF '스릴러'2. 인간의 '생체에너지' 와 관련된 주제와 내용들 - 인간의 생체에너지를 추출해낸다 (장기적출) - 건강한 생체에너지를 모아 다른사람에게 전달한다 (장기이식) - 이 사업에 투자하라 (장기매매) = 단어만 다를뿐 기본적으로 장기매매의 개념과 같음. 인간이 살아가는데 꼭 필요한 잠과 회복기능을 다른사람에게 전달하는 부분에서 그시간동안 그사람에겐 부작용이 있거나 아무행동도 하지못하는 제약이 있을것이 틀림없음. 사실상 수명을 사고파는것 3. 드림코퍼레이션 회사의 실루엣이 마치 서있는 인간의 형상을 떠올리게함. 특히 뇌쪽으로 여러개의 호스가 이어져있는듯이4. 웹툰작가가 노네임드 작가님
이분이 실사체가 아닌걸 다행으로 여겨야됩니다 이분 스토리에 그림체까지 실사였으면 소름끼쳐서 못볼듯,,,,
진짜.. 이 작가님은 실사체로 안그리는걸 감사하게 생각해야함..
이게 공감 그림체란놈 최소 임총이다.
노네임드 작가님 이번에는 숨은명작 되지말고 올라가서 윗공기 마십시다..
안보여서 모르겠지만 공감 그림이랑 노넴드작가님 그림이랑 비교질하는 알못이있단말인가...그림좀 그리는 사람이면 알텐데ㅋㅋ그림의 깔끔한 심플화가 얼마나 대단한건지를...어찌보면 극화보다 힘든게 심플화인데 단순함안에 모든걸표현하기가 얼마나힘든줄아나ㅋㅋ공감툰이랑 비교하는 바보님들이있다기에 한마디 지꺼려봄
"제대로 작동하는것 같군요"는 꿈속 주인공한테 하는말이 아니라 현실속 옆에있는 직원에게 하는말임근데 마이크(현실이랑 꿈이랑 이어주는장치)같은게 켜져있어서 주인공한테 들린듯그래서 혼선이 있었다고 둘러대고
베댓님 디스맨은 한 마케팅 수립가가 만들어낸 가상의 인물일 뿐, 미스테리 같은 게 아닌 그냥 평범한 도시괴담입니다. 잘못된 정보로 사람들을 혼동시키지 말아주세요. 좋아요가 1000개가 넘어가는데, 이는 디스맨이 미스테리라고 믿는 시람이 최소 1000명 이상이라는 소리입니다. 정확한 정보를 가지고 댓글 달아주시면 감사하겠습니다.
디스맨이 아직까지 안 풀리는 미스테리라뇨... 사람들이 "자각몽하는 사람들에게 무작위로 보여지는 디스맨"이라는 것에 대해 알고 있는 상태로 자각몽을 하니 꿈에서 디스맨이 보여지는 것일 뿐 입니다. 거기에다 내가 조종할 수 없는 존재라는 거짓까지 진실로 믿게 되면 진짜로 내가 마음대로 조종할 수 없어지는 것 뿐이구요 실제로는 그냥 내가 마음대로 조종할 수 있는데도 소문을 진실로 믿게 되는 것 하나 때문에 내가 꿈 속에서 마음대로 디스맨을 조종 하지 못 하는 것 뿐 입니다. 그니까 나중에 자각몽을 하다 디스맨을 만나게 되면 여러분이 만든 존재니 여러분 맘대로 하시면 됩니다
노네임드랑 이어지는게아니라 노네임드 등장인물 나오게해준거자나 베댓멍청잉
작가님! 오타 난것같아요! 7포에 관련된 이야기를 할때 연예가 아니라 연애 아닌가요? 작가님이 보실 수있게 올려주세요!!
이거 "오늘도실패했다"가복선아닐까요자각몽은 꿈속에서꿈이란걸인식해야되는데그러기가힘들죠근데저회사는 계약하면3년이랬지만사실평생잠을자고있는거죠한번잠들면다시깬거같지만꿈속이고그안에서먹고자고하는겁니다.꿈속에서또다시꿈꾸는거처럼뇌를조종하고그렇게꿈속에서3년이지난거처럼하고 사회로나가는것"처럼"꿈을조작해서 평생 생체에너지를얻는것같습니다.개소름이죠. 이작가님은이런빅픽쳐보다 훨씬더큰빅픽쳐를그리실꺼같은데 일단제추측도 맞긴할것같네요
저건 디스맨이 아니라 피아노 치러온 디모입니다.
왜 아무도 노네임드를 기억하지 못하는걸까 저 도끼 든 선생 노네임드 인물이잖아요! 오랜만!
두번째 베댓님 검은양복이라는 이야기는 어디서 들으신건지 혹시 슬렌더맨이랑 헷갈리신건 아닌지..?디스맨은 짙은눈썹의 동양풍의 얼굴을 가진 남자이고그 야기는 세뇌를 가정한 사기극으로 끝났습니다..미스테리도 아닌 사기극이죠. 루시드드림과 밀접한 이야기들을 가지고 만화를 만드실것같은데만화가 굉장히 기대되네요!.
노네임드 학교네 ㅋㅋㅋㅋㅋㅋ 저 존재감 쩔던 호러여선생이 반가울 수가 있다니 ㅋㅋㅋ
소름 돋는다. 1화에 면접 보는 내용 자체가 꿈입니다.이번 화에서 안경남이 꿈으로 들어갈 때 안개가 서서히 걷히는 이펙트가 있는데, 1화 장면과 완전히 동일합니다. 
저도 요즘 루시드드림 (자각몽) 훈련중인데 꿈에 기업에 나왔네요!! 아직 꿔본적은 없지만 훈련 열심히 해서 꼭 해보고 싶네요. .여러분도 해보세요 연예인을 만난다거나 다시는 못볼 사람을 만나고 싶다던가 한가지 행동을 정해놓고 현실에서 생각날때마다 해보세요! 손금을 본다던가, 머리를 긁는다거나, 뛰어본다던가 평소에도 할수있는 행동을 계속하다보면 꿈속에서도 할 확률이 높아진다고 해요! 예를 들어 꿈속에서는 손금이 막 살아움직인다던가 머리를 긁는데 구슬이 나온다던가(실제로 내가 이럼ㅋㅋㅋㅋ) 그러면 특정행동에서 이상한현상이 일어나면 꿈속이라는걸 알겠죠? 이런식으로 훈련을 한답니다..(저는요..
착각하지 마세요 저건 31번의 동생입니다.
