진짜사나이하기전부터나온거임 오해하시는분없기를바람
베도부터 본사람 좋아요
길만들자 베도때부터 온자들아!!!!!
군바리는 군인+발바리의 뜻 입니다. 군인목숨이 값싼 발바리와 같다는 뜻이죠. 군인을 명백히 비하하는 말 입니다.
으아아아아 드디어 신고 걱정 없이 볼수 있겠구나 ㅠ.ㅠ 신고당할까봐 마음 졸였던 날이여 이젠 안녕 ~
배도부터봤는데 예상인데 2주안에 손가락든다
오오오 드디어 왔다!!!!!!
올 대작이 왓다
군바리‘군인(군대에서 복무하는 사람)’을 낮잡아 이르는 말.
이런 소재면 댓글창 살벌하겠죠... 일단 여자로써 청춘 한가운데를 바쳐 나라와 저희를 지켜주는 군인분들께 감사하고 존경스럽다는 말 전하고 싶습니다. 각자 사회를 지키는 방법은 달라도 가장 희생정신이 높은 것이 군생활이라고 생각합니다. 남성분들 얘기들어보면 의무라서, 안가면 안되니까 갔다, 군생활 악몽같았다 하시는 분들 많지만 군가부를때나 고된 훈련뒤에 소소한 대화나눌때 새삼 감격한 사람도 많다고 들었습니다. 애국심과 익숙해서 소중한줄 몰랐던 많은 것들이 울컥 솟는다고 하더군요. 아직 안다녀오신 분들도 너무 걱정마시고, 당신을 응원하고 감사하게 생각하는 국민들이 있음을 기억해주세요. 힘들고 고통스러워도 나라와 사람을 지킨다는 뿌듯함을 잃지마세요. ㅡ
신개념이다
군대에가면진흙탕에 굴러보고64840개 병균이묻은 위생뭐같은 식판으로 매일밥도 먹어보고삽질도해보고선임한테 맞아도보고욕도먹어보고나이어린 사람한테(선임이니까)인격비하발언도 많이들어보고인간이하취급도 받아보고훈련때마다 텐트도쳐보고훈련하는때에는 4박5일 또는 그이상 밖에서 씻지도 못하고 제대로된 밥도먹지못해보고봄,겨울에는 눈을 어마어마하게치워보고여름에는 진지공사(십오지게힘듬)로 각종작업을해보고가을에는 낙엽을 어마어마하게 치워보고(군대가 산이라 낙엽이 눈만큼 많음)일주일에 적게는 3번 많게는 7번을 새벽에 1,2시간 근무를 하여 밤잠을 설쳐도보고인생의 밑바닥을 걸어도보고(이등병때)이것은 남자가군대가면 겪는 일.부.분의 것들입니다.여성부 왈 : 군대간 2년동안 자격증 따와야되는거 아닙니까? 군대갔다온 남자들에게 가산점을왜줍니까?한마디하겠습니다.군대가노는곳입니까? 군비하발언하는사람이나 여성부 너네같은사람도 꼴에 대한민국 국민이라고 지켜주는곳이 군대란말입니다.
^^쟤 그럼요당연하죠님 사칭입니다 그럼요님이 자기블로그에 댓글 당분간 안한다고 글 썻는데 아이디도용해서 대놓고 베댓될라고 사칭하네 ㅎ
출산 의무였음??? 선택아님???? 우와 출산의무는 처음들어보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 출산안하면 빵에들어가나?메갈식논리 ㅅㅌㅊ
