아닠ㅋㅋㅋㅋㅋㅋㅋ머얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런전개좋아
가야는 562년 신라에 통합되죠 그러니까 남주는 신라겠군요^ㅡ^
??? : 이건 국가에서 허락한 유일한 마약이야.
위아더능력자 작가님ㅠㅡㅜㅜㅜㅜ진짜 보고싶었어요ㅠㅡㅡㅠ그 별모양 머리가 잊혀지지 않았는데ㅜㅡㅜㅠ독수리머리도ㅠㅡㅡㅠㅠㅡ이만화도 분명 재밌겠지ㅠㅡㅡㅠㅜ힝ㅠㅜㅜ사랑해요ㅠㅡㅡㅜㅜㅜㅡㅠㅡㅜ
이거 뭐에요?ㅋㅋㅋ 이상한데 끝까지봄ㅋㅋㅋㅋㅋㅋㅋ 드라마를 4편정도 본느낌?.......
여러분 썸네일을 봐주세요ㅋㅋㅋㅋ 진짜 지도처럼 가야가 백제랑 신라 사이에 껴있고 가야랑 접하지않던 고구려는 구석에 처박혀있음ㅋㅋ 백제가야신라 삼각관계 예상합니다^ㅆ^
잠만 뭔데 별점이 10.0 ?
근데 이작가님 전작보시면....여기에서 로맨스 기대하기는 어려울 것 같습니다....남주? 사각관계? 집어치워..... 삼국시대 셋이 지들끼리 김칫국마시고 북치고장구치고 자진모리장단으로 놀다가 열린결말으로 끝날듯
여러분 이거 순정'만'화가 아니야.. 순정'망'화야.
한국사 시험 보기 전에 이 웹툰을 봤다면 즐거웠겠지 여러분 41회 한국사 시험 접수는 2018년 9월 25일 부터, 시험일은 2018년 10월 27일 입니다
썸네일과 작가를 생각해보면 구려는 다음화에 죽고 귀신으로 나올수도 있음
ㅋㅋㅋㅋㅋㅋㅋ베댓ㅋㅋㅋㅋ역사적 사실을 바탕으로 남주 추론ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
작가님 연재를 월 화 목 하는거예요..? 너무 무리하시는거 아닐까 걱정됩니다ㅠㅠ
주3회?
최신편 너무 소름돋아서 정주행하러 옴...ㅋㅋ
남자가 멍청하네 여고생이면 암벽하강쯤은 식은 죽 먹긴데...
오늘의 순정'망'화
여고생이라면 암벽 하강정도는 거뜬하게 하죠. 벽을 안 부수고 등교한 것만 해도 얼마나 착한지 알 수 있는 부분이네요.
뭐지..? 이거 연재 주기가 대체.??
와ㅋㅋㅋㅋㅋ뭔데ㅋㅋㅋ똥싸다 끊겼는데 시원한 느낌이얔ㅋㅋㅋㅋㅋ
여고생력을 생각하지 않다니 아직 n년은 멀었군
아니 그것보다 학생이 왜 저런걸 들고다녀.
아니 애초에 지각할거라는건 어떻게 안건데ㅋㄱㅋㅋ
그래도 저 여고생은 약하네요 평소 여고생은 손으로 찍고 내려올텐데
띠용...?
손하기작가님.......진짜 병맛 전문이신듯
왜그러시죠? 여고생,여중생이라면 갈고리 가지고 다니지 않나영
훗 저같은경우는 저렇게 드라마틱하게 떨어지지 않아요, 두발로 점프해서 착지하지. 즉 저렇게 바닥에 누워계시면 내장이 파열되십니다
월화목 주 3회 연재 작가님 괜찮아여?ㅠㅠㅠㅠㅠ
이 웹툰을 그리거나//볼때작가님과 독자들의 생각은저 멀~~리 안드로메다로..🌟🌟🌟🌠🌟🌟🌟🌠
여기있는 여주는 뭔가 악역이랑도 친하게 지내지않을까....
순정만화 아니고 순정망화입니다 여러분
도대체 이거 뭐지...? 웹툰이 너무 신박해....!!!!
아 너무 좋아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이상한 부분에서 반하지 말라고ㅋㅋㅋㅋㅋㅋㅋㅋㄱㄱㅋㅋㅋㅋ
등짝에 있는 지도는 어떻게볼건데
純           情        亡         畵순수할 순   뜻 정   망할 망  그림 화순수함이 망한 만화라네여... 걍 해보고 싶었어요...
이 웹툰을 보는 방법1. 머리를 연다.2. 뇌를 잠시 뺀다.3. 본다.4. 뇌를 다시 넣는다. 5. 이해를 할수 없다.
오 미친 순정망화인거 3화만에 알았어 그동안 순정만화인줄
베댓님 그야 저 여주라면등짝..등짝을 보자...! 이러지 않을까요
오늘의 포인트는 -탈옥하실 건가요? 학교라는 감옥에서..- 싸이월드 감성
옷에 지도를 그려놓고 탈옥할 거냐고 묻는 건 미국 드라마 중 ‘프리즌 브레이크’를 따라한 겁니다! 남자 주인공이 형을 구해서 감옥을 탈출하기 위해 온 몸에 감옥의 지도를 문신으로 새기거든요! 프리즌 브레이크 꼭 보세요ㅠㅠ
뭘본거지
일주일에 세 편이나 올라오는데 이 정도 길이가 알맞지 않겠음?? 난 맞다고 생각하는데일주일 한 편인데 이것보다 짧고 몇 배는 성의없는 걸 많이 봤어서..퀄 넘 좋고 내용도 좋아요 작가님 앞으로도 기대합니다 (^ 3^)
작가님 더 강해져서 돌아오셨네요...
