솔직히 쳐맞을 애들 많지
학폭 가해자들은 처 맞아도 할 말 없지
부활남 하우스키퍼 글작가님과 신석기녀 그림작가님 듀오..진짜 "참교육" 하러 오셨네
근데 이게 대한민국의 현실임...
저 장발아저씨 한테서 부활남 석환이 냄새가난다..빠꾸없는 사이다 캐릭
요즘 애새 기들 개판이라 이런 웹툰으로 대리만족 해야지
이웹툰 검열하면 네이버 안쓴다
난 저 방관자 새끼들이 제일 빡치는데 폰 들고 찍는...
교권을 낮추든 올리든 희생자가 교사에서 학생이 될 뿐... 당연히 이걸 적절히 유지하는게 매우 힘들지... 만화는 만화로만 봅시다... 실제로는 불가능하고 있어서도 안되는 일이지ㅎㅎ
ㅋㅋㅋㅋ 좋다! 이런게 참교육이지 뭐? 학생인권? 인권은 남에게 피해 안줘야 받을 수 있는게 인권이지. 남에게 피해준 순간 그건 인간이 아니기에 인권이 없는거지
하.. 작가님 제가 일진새키들 존나게 패는 거 좋아하는건 또 어떻게 알궁..♡
삼단봉 맞아봤는데 저거 진짜 흉기야..진짜 아픈정도가 아님죽음
남주진짜 선생님너무잘생겼다
진짜 소재 너무 좋은 것같아요.. 요새 로판이나 그런것들만 올라오는데 
이게 웹툰이다
이러다 언젠간 미리보기 한화당 5개 지르라고 하겠네 ㅋㅋㅋㅋㅋㅋㅋ
첫배댓말이 백번 합당함.유튜브 봐라. 어떤새끼가 광고 두개 겹쳐놓더니 이젠 기본 두개잖아두개로 줄이던지 다른 웹툰들에 적용시키지 말던지 둘중하난 해야한다
일단 웹툰 몇개 쿠키3개로 올려놓고 반응보고 다른 웹툰도 덩달아3개로 올릴거다그리고 점차 올리고올려 5개까지 올리겠지
잼민이들이 돈 안벌어봐서 50% 인상은 눈에 안보이고 당장 겨우 100원 오르는거 하나만 보이는구나 ㅋㅋㅋ 어이구
잼민이들아 지금 쿠키300원이라 적어보이는거같은데 니들이 보이는게 전부가 아니다~
3쿠키.. 난 여기서 스탑하련다
얘네가 지금 거의 모든웹툰이 무료화되어있는 네이버에서 베댓처럼얘기하니까 실감이 잘 안외서 그러는데 지금 카카오페이지는 거의 머든웹툰이 유료화거든? 카카오페이가 한화당 200캐시인데 갑자기 아무런 공지없이 소속사 빵빵한작가의 신작 가격을 300캐시로 올린거리고 보면 됨 거의 필수적으로 작품으로 온전히즐기려면 캐시를 주고 사야하고 재밌는작품은 거의다 유료인 카카오페니지에서 300으로 올렸다? 애들 난리날걸? 근데 나같은.라이트유저라면 모를까 이익을 내는 주요고객층인 쿠키굽는사람들이 네이버의 거의 유일한 고객인데 그런사람들한테 말도안하고 갑자기 가격 인상? 10~20퍼도 아니고 50퍼? 이건 화날만 하지적어도 올리기전에 이유라도 야기를 하던지 아니면 통보라도 공지를 올리던지 해야한다는거임 이런거에대해서 따지는건 쪼잔한게아니고 소비자로써 권리를 챙길줄아는거임 자기 흑우인거 티내지말고 잘모르겠으면 ㄹㅇㅋㅋ만 치던지 조용히 입다물고 그냥 알아서 결제하고 보셈 가격내리면지들도 좋으면서...
이거왜3쿠키니?50%는 선넘는거 아니니? 딴놈들도 스물스물 올리겠네?
아니 3쿠키는 네이버를 욕하고 쿠키불매 하면 되지 작품 별테는 수준 떨어진다
2쿠키는 보고 3쿠키는 불매하면 내려가지 않겠나..? 아님 말구 난 3쿠키는 안 살래요
재밌어서 결제할라했는데 진짜 3쿠키네ㅋㅋㅋㅋㅋㅋ 베댓말 틀린거 하나없다 50%인상인데 안아까운게 이상한거제ㅋㅋ
별테는 좀 하지말자웹툰이 잘못한것도 아니구;잘못한것도 없는데 피해받을 일은 없자나;;
쿠키 3개는 네이버를 욕해야지 왜 작가님을 욕하냐 독자 수준 ㅈㄴ 낮네
아니 배댓을 다 쿠키 얘기야;;좀 내용 얘기좀 보자 짜증나게
3쿠기가 너무한건 맞지만 작가님이랑은 상관없잖아요...그니깐 작가님 욕하지마시고 별테도 하지말아주세요...
솔직히 맞아본사람은 안다 저 큐대가 얼마나 그립감 죽여주고 타격감이 개쩔어서 선생들이 얼마나 잘 애용하는지를
