아니 중간에 고릴라 뭔뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
헐 제작사가 겜접고 고퀄로 다시 만든건가??
와 내가 원했던 장르
박수봉 작가님??? 야채호빵 그 분이요???0
원소드가 원작이고 계승한 게임듯한데 주인공 운좋네 ㅋㅋㅋ그게임 무쌍찍던 사람같은데 ㅋㅋㅋㅋ
내가원했던웹툰이다이것은갓이다봐라저표지의주인공을바로전국대회는무슨세계대회우주대회까지다압승해버릴아이즈다게임은못참지가슴이웅장해진다컴퓨터로네웹뭐볼지계속디비적디비적하고있었는데오른쪽위에프로게이머가되고싶다면더블클릭이라고창이떠서진짜로더블클릭했더니네이버가이작품으로나를인도해줬다이제부터이웹툰은비로소나이고나라고설명할수있는웹툰이다주인공이벽에가로막히고그것을또이겨내며우승하는희열감을난놓치지않을거다이작품딱봐도명대사줄줄나올감이다중간에고릴라컷보니까주제에개그를잘섞는타입이다이작가님처음보는데이제부터구면일것이다매일작가의말에서2명의작가를지겹도록볼것이다난안다이만화가재밌을것임을이제부터주인공은내인격이며주인공의친구는내친구가될것이다진짜솔직히말해서표지에소울이난다검정색눈에서초록빛깔눈이되는시점은안봐도뻔하지만안봐도멋있을게뻔하다전국대회세계대회우주대회우승가자솔직히이런레파토리의웹툰많이봤는데이렇게나한테감동을준웹툰은웹소설원작웹툰들빼고처음이다만일이웹툰이웹소설원작웹툰이었다면난이웹툰의웹소설을이미처음부터끝까지완주한상태였을것이다이웹툰과내가펼쳐갈미래가생생해진다짱
안경 안 쓴 박윤영 ㅎㄹ
먹이가 끝나서 찾아왔다.....
와 이거 연출지린다 웹툰보고 이런느낌든거 첨임
진짜 서버 종료한 인생겜이 다시 돌아온다 해봐 안 울겠냐 난 겁나 울면서 감동함다
진짜 그림체가 좋은게 아니라 스토리가 ㄹㅇ 감성 저격이네
예를 들어서 서든 2가 다시 돌아온다고 생각해봐 ㄷㄷㄷ와 ㄹㅇ 난 울면서 감동할듯근데 난 서든2 안해봤음
제발 이대로 계속 먼치킨믈이게 해주세요...
와.... 과거 랭킹1위였던 게임유저가 새롭게 다시 돌아온 게임의 랭킹 1위를 노린다? 꺄
???"이때 왠지 모르게 아차싶더라구..."
부장이 보는 앞에서 부장을 완전히 박살내버린다니...
내가사랑했던 모든 섭종겜들아...몇개는아직 섭종은안했지만그래도 너무너무사랑했어 작가님도 게임에ㅠㅠ진심이신가보다
소연 보러온사람
먹이 주인공 얼굴이 보인다 감격...
그래서 소연이는?
소연이 어딨니
진짜 너무 재미있다 게임에 대한 공략법이 다 주인공 머리에 들어있으니 이건 뭐 양학 ㅆㄱㄴ이네
저 친구놈 너무 재미있닼ㅋㅋㅋ 아닠ㅋㅋ졸라 끼가 많넼ㅋㅋㅋ
너 뭐 사람 죽이러 가냐?비슷해흠칫해서 부장 보는 거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쟤는 진짜 할 거 같아서 돌아보는 거 개웃기넼ㅋㅋㅋ
빨랑 주인공이 바르는거 보고싶다 
아니 빨리 전 세계 1위인거 밝히라고 너 1위잖아 빨리 말해 제발 근질근질하다고
1위인거 안밝히는게 좀 답답할지라도 나중가서 밝혀지면 그거만 큼 짜릿한게 없지
아니 진짜 근데 주인공 전서버 랭킹 1위면 걍 다 바르는거 아니냐 그래도 2년 공백기 있으니까 바로 1위는 못하려나
솔직히 ㅈㄴ재밌는데 너무 일찍알아버렸어
